"행정구역(시군구)별","성별","연령별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","남자","60 - 64세","주민등록연앙인구[명]","명","539051.5","572527.5","618156","670609.5","717161.5","759107","801157.5","831193","858339.5","910380","949423.5","950918.5","944510","939135.5","938689","965080.5","1015578.5","1069407","1107881.5","1145902.5","1186814","1236224.5","1331686.5","1453903","1561178.5","1665402.5","1778062.5","1878929.5","1976075",
"전국","남자","65 - 69세","주민등록연앙인구[명]","명","375044.5","387036.5","402920.5","419819.5","442531.5","469609.5","501498.5","544427.5","593391","637169","677211","718220.5","749324.5","778285","830647.5","872145","879148.5","877420.5","875945.5","879626","908015","958043.5","1010889","1048876","1087298","1128819","1177940","1271779.5","1390963.5",
"전국","남자","70 - 74세","주민등록연앙인구[명]","명","267317.5","279532.5","286155","290855.5","294898.5","301299.5","313532","328956","345307.5","366650","391942.5","421796.5","461654","506635","547610.5","586226","626301","657441.5","686847.5","737953","779034","789396.5","791986","794689.5","803598.5","834873.5","883751","934279.5","970430",
"전국","남자","75 - 79세","주민등록연앙인구[명]","명","145678","152025","160008.5","168109","178143.5","190905.5","201003.5","206776.5","211277","216166.5","223246","235148.5","249944.5","265102.5","284446","307567.5","334940.5","370465.5","409659","445317","479575","516035","545835","574870","623318","662915.5","675845","682114.5","688442",
"전국","남자","80세 이상","주민등록연앙인구[명]","명","95835.5","100684","105226","111052","118319.5","125226","131823.5","139262.5","147826.5","158648.5","171218","182682","192403.5","201817.5","213069.5","226892.5","243694","261387","278706","300498.5","327384.5","359793.5","398448.5","439823","482675","527239","577222.5","627780.5","679284",
"전국","남자","80 - 84세","주민등록연앙인구[명]","명","","","","76770","81332","85757","90329","96027","101961.5","109357.5","118727.5","126506.5","131641.5","136109","141170.5","147805.5","158094","170484.5","182886.5","198522","217303","239458","267805.5","299052.5","328109","356227","386770.5","413379.5","439372",
"전국","남자","85세 이상","주민등록연앙인구[명]","명","","","","34282","36987.5","39469","41494.5","43235.5","45865","49291","52490.5","56175.5","60762","65708.5","71899","79087","85600","90902.5","95819.5","101976.5","110081.5","120335.5","130643","140770.5","154566","171012","190452","214401","239912",
"전국","남자","85 - 89세","주민등록연앙인구[명]","명","","","","","","","","33595","35287","37836","40263","43225","47053","51044.5","55978.5","61854","66732","70007.5","72911","76553","81430.5","88734.5","97021","105433.5","116596.5","129511.5","144408.5","163454","184245.5",
"전국","남자","90 - 94세","주민등록연앙인구[명]","명","","","","","","","","8531","9363","10079","10654","11110","11497","12174.5","13223.5","14326.5","15787.5","17641.5","19488","21711","24581.5","27027.5","28401","29490","31290.5","33835","37636","42101.5","46457.5",
"전국","남자","95 - 99세","주민등록연앙인구[명]","명","","","","","","","","928.5","1045","1205.5","1410.5","1679.5","2035.5","2296.5","2481","2664","2772.5","2868.5","2996","3254","3563.5","4032","4659.5","5263","6072","7027.5","7672","7951","8189",
"전국","남자","100세 이상","주민등록연앙인구[명]","명","","","","","","","","181","170","170.5","163","161","176.5","193","216","242.5","308","385","424.5","458.5","506","541.5","561.5","584","607","638","735.5","894.5","1020",
"전국","여자","계","주민등록연앙인구[명]","명","22277741.5","22499772.5","22709013.5","22920105.5","23131072.5","23317866.5","23484176","23670841.5","23844773","23974417","24073218","24168701","24273381","24380407.5","24506227","24647574.5","24780338","24902648","25029688","25157830.5","25276023.5","25388672","25493661.5","25585157","25653952","25698918.5","25728081.5","25743178.5","25744150.5",
"전국","여자","0 - 4세","주민등록연앙인구[명]","명","1573676","1611571.5","1646951","1662073.5","1649544","1621416","1583913","1552100","1510736.5","1439747.5","1361886","1293505","1212727","1139370","1114945.5","1111847.5","1101288.5","1104770","1121688","1128067.5","1122184","1116768","1109714","1088862.5","1043359","987150.5","929971.5","857459.5","780737",
